,/amdcpu/0/load/1,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/0,/amdcpu/0/power/0,/amdcpu/0/clock/0,/amdcpu/0/power/2,/amdcpu/0/power/3,/amdcpu/0/power/4,/amdcpu/0/power/5,/amdcpu/0/power/6,/amdcpu/0/power/7,/amdcpu/0/temperature/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/power/1,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/clock/0,/atigpu/0/clock/1,/atigpu/0/voltage/0,/atigpu/0/load/0,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Total","CPU Package","Bus Speed","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Cores","Memory","Used Memory","Available Memory","GPU Core","GPU Memory","GPU Core","GPU Core","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Used Space"
11/08/2024 22:26:26,11.71875,14.0625,2.34375,0,0,0,4.6875,8.292723,99.81416,1.64606738,1.93251228,0.6963916,0.148671091,0.157101288,0.161959618,51.25,3243.96021,3243.96021,2595.16821,2595.16821,2595.16821,2595.16821,4.742703,64.37857,9.877495,5.465336,400,1600,0.001,0,42,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.6420002,0.09765625,0.29296875,80.82657
11/08/2024 22:26:27,15.625,5.46875,1.5625,2.30768919,0,3.8461566,4.80168438,10.9312735,99.81416,2.18352,1.60837579,1.11952543,0.971926749,0.918153644,0.9790833,51.25,2595.16821,3243.96021,3243.96021,3243.96021,2595.16821,2595.16821,7.78058529,64.31778,9.868168,5.474663,400,1600,0.001,0,42,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.637,0.048828125,0.29296875,80.82657
11/08/2024 22:26:28,10.15625,14.84375,0.793647766,0,0,0,4.29894352,7.8665123,99.81416,1.76292133,1.43312085,0.328434646,0.00317578949,0.0007939474,0.014504808,51.125,3243.96021,3243.96021,2595.16821,2595.16821,2595.16821,2595.16821,3.54295135,64.38645,9.878704,5.46412659,400,1600,0.001,0,43,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.64600015,0.048828125,0.341796875,80.82657
11/08/2024 22:26:29,16.40625,6.25,3.174603,0,0,0,4.3051424,7.63923168,99.81416,1.787631,1.089612,0.352994561,0.00313978153,0.004586544,0.01218974,51.25,3243.96021,3243.96021,2595.16821,2595.16821,2595.16821,2595.16821,3.2501533,64.292984,9.864365,5.478466,400,1600,0.001,0,43,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.64500022,0.09765625,0.048828125,80.82657
11/08/2024 22:26:30,14.84375,5.46875,2.272725,0,0,0,3.76420021,8.517888,99.81416,2.033648,1.666502,0.802767336,0.00430556526,0.00325579848,0.0104368124,51.375,3243.96021,3243.96021,3243.96021,2595.16821,2595.16821,2595.16821,4.52091551,64.3089752,9.866817,5.476013,1800,1600,0.001,1,42,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.65500021,0.048828125,0.048828125,80.82657
11/08/2024 22:26:31,16.40625,7.03125,3.125,0,0,0,4.427081,7.947132,99.81416,1.7560699,1.2266233,0.9172229,0.006673508,0.007503852,0.01800617,51.375,2595.16821,3243.96021,2595.16821,2595.16821,2595.16821,2595.16821,3.93209958,64.32233,9.868866,5.47396469,400,1600,0.001,1,43,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.65500021,0.048828125,0.341796875,80.82657
11/08/2024 22:26:32,10.15625,8.59375,0,0,0,0,3.125,5.75982141,99.81416,1.12992609,1.22171164,0.152804419,0.00514782732,0.006491395,0.009903152,51,3243.96021,3243.96021,2595.16821,2595.16821,2595.16821,2595.16821,2.52598476,64.38229,9.878067,5.46476364,400,1600,0.001,2,43,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.683,0.048828125,0.048828125,80.82657
11/08/2024 22:26:33,17.1875,18.75,8.333331,4.54545,0,0,8.136052,14.4687262,99.81416,2.613523,2.30642581,1.92627609,1.61548924,1.02482557,0.315815,52.25,3243.96021,3243.96021,3243.96021,3243.96021,3243.96021,2595.16821,9.802355,64.74249,9.933331,5.4095,400,1600,0.001,7,43,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.67800021,0.048828125,0.048828125,80.82657
11/08/2024 22:26:34,28.90625,3.90625,2.34375,1.61290169,0,0,6.128192,13.8857126,99.81416,2.302421,2.04196763,1.72295213,1.24999273,0.7615938,0.637653,53.25,3243.96021,3243.96021,3243.96021,2595.16821,2595.16821,2595.16821,8.716581,65.3699341,10.0295982,5.31323242,400,1600,0.001,11,43,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.627,0.29296875,0.048828125,80.82657
11/08/2024 22:26:35,25.78125,5.46875,3.90625,3.03030014,0,0,6.364423,11.26654,99.81416,2.27442479,1.88226366,1.56839466,0.811401963,0.00875393,0.01782981,53.75,2595.16821,3243.96021,2595.16821,2595.16821,2595.16821,2595.16821,6.563069,65.4449,10.0411,5.301731,400,1600,0.001,10,43,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.61200023,0.6347656,0.048828125,80.82657
