,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/temperature/5,/intelcpu/0/temperature/6,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/5,/intelcpu/0/clock/6,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/load/0,/hdd/2/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Temperature","Used Space","Used Space","Used Space"
10/09/2024 20:31:51,20.3125,7.03125,15.625,6.25,10.9375,7.03125,11.1979189,64,54,60,59,55,56,63,3914.17773,3914.17773,3914.17773,3914.17773,3914.17773,3914.17773,45.4689522,33.3508453,0,1.9348098,100.363533,27.30664,8.704338,23.1719322,44,607.5,405.000031,1215,5,15,0,0,6144,1171.168,4972.832,19.06198,5.53600025,0,0,28,18.34568,34.3991547,0.03377533
10/09/2024 20:31:52,8.4615345,21.8629837,5.384612,5.420673,2.3317337,0,7.24359131,54,57,55,52,51,53,57,3914.17676,3914.17676,3713.44971,3914.17676,3914.17676,3914.17676,37.196125,25.0868015,0,1.84712625,100.3635,27.2693481,8.69245148,23.1838188,44,607.5,405.000031,1215,1,12,0,0,6144,1171.168,4972.832,19.06198,4.714,0,0,28,18.34568,34.3991547,0.03377533
10/09/2024 20:31:53,16.8831177,2.59740353,20.7792225,6.427127,6.46853447,14.9777889,11.355525,61,51,54,52,51,51,60,3914.17773,3914.17773,3914.17773,3914.17773,3914.17773,3914.17773,38.0484924,26.0822773,0,1.61344433,100.363533,26.8175583,8.548439,23.3278313,44,607.5,405.000031,1215,5,15,0,0,6144,1178.80078,4965.199,19.18621,5.716,0,0.0009765625,28,18.34568,34.3991547,0.03377533
10/09/2024 20:31:54,0.9803891,13.9999981,8.823526,0.9803891,0.9803891,5.769229,5.255657,50,58,54,52,50,52,58,3914.17773,3914.17773,3914.17773,3914.17773,3914.17773,3914.17773,27.5396,15.7203255,0,1.21912348,100.363533,26.8125,8.546825,23.3294449,44,607.5,405.000031,1215,0,13,0,0,6144,1179.05078,4964.949,19.190279,5.23700047,0,0,28,18.34568,34.3991547,0.03377533
10/09/2024 20:31:55,3.125,23.0769215,0.78125,6.25,0.78125,2.34375,6.05969429,51,52,51,51,50,54,54,3914.17773,3914.17773,3914.17773,3914.17773,3914.17773,3914.17773,28.2460175,16.38889,0,1.32131076,100.363533,26.8592072,8.561714,23.3145561,44,607.5,405.000031,1215,0,12,0,0,6144,1181.17188,4962.828,19.224802,4.906,0,0,28,18.34568,34.3991547,0.03377533
10/09/2024 20:31:56,3.125,52.34375,3.125,0,0,7.03125,10.9375,50,57,50,49,49,58,58,3914.17749,4014.541,3914.17749,3914.17749,3914.17749,3914.17749,27.5356827,15.7440243,0,1.18275988,100.363525,27.1537933,8.655617,23.2206535,44,607.5,405.000031,1215,0,13,0,0,6144,1181.4375,4962.5625,19.229126,4.74500036,0,0,28,18.34568,34.3991547,0.03377533
10/09/2024 20:31:57,0,30.46875,10.15625,7.03125,6.25,3.90625,9.635419,53,56,61,52,59,51,59,3914.17676,3914.17676,3914.17676,3914.17676,3914.17676,3914.17676,32.465538,20.6038589,0,1.329092,100.36351,27.5662842,8.787102,23.0891685,44,607.5,405.000031,1215,0,13,0,0,6144,1182.625,4961.375,19.2484531,4.87100029,0,0,28,18.34568,34.3991547,0.03377533
10/09/2024 20:31:58,3.96825075,53.90625,7.8125,8.59375,7.03125,2.34375,13.9426231,64,60,62,65,60,60,65,3914.17773,3914.17773,3613.08716,3813.81421,3914.17773,3713.45068,54.4134674,42.0107269,0,2.82705951,100.363533,27.4045563,8.73555,23.14072,44,607.5,405.000031,1215,9,14,0,0,6144,1179.40625,4964.59375,19.1960659,5.99400043,0.0107421875,0.001953125,28,18.34568,34.3991547,0.03377533
10/09/2024 20:31:59,1.53846145,41.40625,8.59375,8.59375,2.34375,3.955853,11.0719681,58,58,61,59,64,63,64,3914.17773,3914.17773,3914.17773,3914.17773,3914.17773,3914.17773,50.5421448,38.2995949,0,2.26045823,100.363525,27.62548,8.805973,23.0702972,44,607.5,405.000031,1215,1,12,0,0,6144,1179.40625,4964.59375,19.1960659,4.87800026,0,0,28,18.34568,34.3991547,0.03377533
10/09/2024 20:32:00,0.78125,38.28125,2.34375,4.6875,0.78125,3.10096145,8.329326,61,57,60,57,59,62,62,3412.36,3613.08716,3813.81421,3412.36,3914.17773,3914.17773,51.57556,39.3117065,0,2.43177485,100.363533,27.7750854,8.853661,23.02261,44,607.5,405.000031,1215,3,14,0,1,6144,1179.40625,4964.59375,19.1960659,6.32,0.009765625,0.0029296875,28,18.34568,34.3991547,0.03377533
