Timestamp,CPU Package Temperature (C),CPU Power Consumption (W),Humidity (%)
2024-11-14 15:50:19,61.875,1.97,20.0
2024-11-14 15:50:20,61.625,1.62,20.0
2024-11-14 15:50:22,61.0,1.19,20.0
2024-11-14 15:50:23,59.75,0.82,20.0
2024-11-14 15:50:24,59.375,1.06,20.0
2024-11-14 15:50:25,59.0,1.02,20.0
2024-11-14 15:50:27,58.5,1.09,20.0
2024-11-14 15:50:28,58.5,1.17,20.0
2024-11-14 15:50:29,58.375,1.12,20.0
2024-11-14 15:50:31,57.625,0.76,20.0
2024-11-14 15:50:32,57.375,0.93,20.0
2024-11-14 15:50:33,57.125,1.15,20.0
2024-11-14 15:50:35,57.125,0.87,20.0
2024-11-14 15:50:36,57.375,0.98,20.0
2024-11-14 15:50:37,57.25,0.89,20.0
2024-11-14 15:50:38,57.125,0.91,20.0
2024-11-14 15:50:40,56.875,0.98,20.0
2024-11-14 15:50:41,56.875,0.85,20.0
2024-11-14 15:50:42,56.875,0.9,20.0
2024-11-14 15:50:44,56.75,0.79,20.0
2024-11-14 15:50:45,56.75,0.89,20.0
2024-11-14 15:50:46,56.75,1.13,20.0
2024-11-14 15:50:47,57.125,1.2,20.0
2024-11-14 15:50:49,57.0,0.97,20.0
2024-11-14 15:50:50,58.25,1.38,20.0
2024-11-14 15:50:51,58.875,1.6,20.0
2024-11-14 15:50:53,60.25,1.64,20.0
2024-11-14 15:50:54,60.125,1.8,20.0
2024-11-14 15:50:55,60.625,1.55,20.0
2024-11-14 15:50:57,59.5,0.72,20.0
2024-11-14 15:50:58,59.125,1.06,20.0
2024-11-14 15:50:59,58.75,1.0,20.0
2024-11-14 15:51:01,58.5,1.08,20.0
2024-11-14 15:51:02,57.75,0.92,20.0
2024-11-14 15:51:03,57.625,0.76,20.0
2024-11-14 15:51:04,57.875,1.08,20.0
2024-11-14 15:51:06,58.25,0.75,20.0
2024-11-14 15:51:07,58.125,1.08,20.0
2024-11-14 15:51:08,57.875,0.9,20.0
2024-11-14 15:51:10,57.5,0.71,20.0
2024-11-14 15:51:11,57.5,1.12,20.0
2024-11-14 15:51:12,57.625,1.03,20.0
2024-11-14 15:51:14,57.75,0.8,20.0
2024-11-14 15:51:15,57.375,0.97,20.0
2024-11-14 15:51:16,57.375,1.09,20.0
2024-11-14 15:51:17,57.5,0.96,20.0
2024-11-14 15:51:19,57.25,0.84,20.0
2024-11-14 15:51:20,57.25,1.08,20.0
2024-11-14 15:51:21,57.375,1.08,20.0
2024-11-14 15:51:23,58.125,1.07,20.0
2024-11-14 15:51:24,59.0,1.62,20.0
2024-11-14 15:51:25,59.25,1.35,20.0
2024-11-14 15:51:27,59.75,1.32,20.0
